sensor_1,1627972946,35.5
sensor_1,1627972951,36.5
sensor_1,1627972956,37.5
sensor_1,1627972961,38.5
sensor_1,1627972965,39.5
sensor_1,1627972971,40.5
sensor_1,1627972976,41.5
sensor_1,1627972981,42.5
sensor_1,16279729785,43.5
sensor_2,1627972946,35.5
sensor_2,1627972951,36.5
sensor_2,1627972956,37.5
sensor_2,1627972961,38.5
sensor_2,1627972965,39.5
sensor_2,1627972971,40.5
sensor_2,1627972976,41.5
sensor_2,1627972981,40.5
sensor_2,16279729785,41.5
sensor_3,1627972946,35.5
sensor_3,1627972951,36.5
sensor_3,1627972956,37.5
sensor_3,1627972961,38.5
sensor_3,1627972965,39.5
sensor_3,1627972971,40.5
sensor_3,1627972976,41.5
sensor_3,1627972981,40.5
sensor_3,16279729785,41.5
sensor_4,1627972946,35.5
sensor_4,1627972951,36.5
sensor_4,1627972956,37.5
sensor_4,1627972961,38.5
sensor_4,1627972965,39.5
sensor_4,1627972971,40.5
sensor_4,1627972976,41.5
sensor_4,1627972981,40.5
sensor_4,16279729785,41.5
sensor_5,1627972946,35.5
sensor_5,1627972951,36.5
sensor_5,1627972956,37.5
sensor_5,1627972961,38.5
sensor_5,1627972965,39.5
sensor_5,1627972971,40.5
sensor_5,1627972976,41.5
sensor_5,1627972981,40.5
sensor_5,16279729785,41.5
sensor_6,1627972946,35.5
sensor_6,1627972951,36.5
sensor_6,1627972956,37.5
sensor_6,1627972961,38.5
sensor_6,1627972965,39.5
sensor_6,1627972971,40.5
sensor_6,1627972976,41.5
sensor_6,1627972981,40.5
sensor_6,16279729785,41.5
sensor_7,1627972946,35.5
sensor_7,1627972951,36.5
sensor_7,1627972956,37.5
sensor_7,1627972961,38.5
sensor_7,1627972965,39.5
sensor_7,1627972971,40.5
sensor_7,1627972976,41.5
sensor_7,1627972981,40.5
sensor_7,16279729785,41.5
sensor_8,1627972946,35.5
sensor_8,1627972951,36.5
sensor_8,1627972956,37.5
sensor_8,1627972961,38.5
sensor_8,1627972965,39.5
sensor_8,1627972971,40.5
sensor_8,1627972976,41.5
sensor_8,1627972981,40.5
sensor_8,16279729785,41.5
sensor_9,1627972946,35.5
sensor_9,1627972951,36.5
sensor_9,1627972956,37.5
sensor_9,1627972961,38.5
sensor_9,1627972965,39.5
sensor_9,1627972971,40.5
sensor_9,1627972976,41.5
sensor_9,1627972981,40.5
sensor_9,16279729785,41.5
